source,content,classification
Scott Walker,"Says Foxconn didn't keep a promise to build a plant in Pennsylvania because ""Pennsylvania changed governors.""",incredible
Rick Baker,Says Rick Kriseman is $35 million over budget on St. Petersburg’s new police station.,incredible
Senate Leadership Fund,"Says Kelli Ward hosted a town hall on ""chemtrail conspiracy theories"" and is open to sponsoring chemtrails legislation.",incredible
Jake Tapper,"Says the Joker's ""Red Hood"" origin story is ""the true one.""",incredible
Paul Ryan,"""We’ve got dozens of counties around America that have zero insurers left.""",incredible
Rick Kriseman,"""We’ve got a police station that’s under construction right now, they are actually ahead of schedule and under budget.""",incredible
Viral image,"""At the PEAK of slavery in 1860, only 1.4% of Americans owned slaves. What your history books (don't) tell you is that 3,000 blacks owned a total of 20,000 slaves the same year.""",incredible
Steve Adler,"""Austin is the safest big city in Texas.""",credible
Donald Trump,"""We have become an energy exporter for the first time ever just recently.""",incredible
David Frum,"""No president in history has imposed larger personal lifestyle costs on the taxpayer than Donald Trump.""",incredible
Donald Trump,"""There aren't too many people outside protesting"" his speech at the Phoenix Convention Center.",incredible
Bloggers,"Says ""Barcelona terrorist"" is cousins with former President Barack Obama.",incredible
Bloggers,"""Rosa Parks’ daughter praises (President Donald) Trump’s response to Charlottesville.""",incredible
Sean Patrick Maloney,"""Most people on Medicaid are kids, or seniors, or the disabled.""",credible
Scott Walker,"""We took Wisconsin from the Bottom 10 for business to the Top 10.""",incredible
John Moorlach,"""Crime has been getting worse since Jerry Brown was elected governor.""",incredible
David Lewis,"Gov. Roy Cooper has ""filed nearly one lawsuit a month, with every single one of them an attempt to extend his own power.""",incredible
Matthew Rosendale,"Says Sen. Jon Tester ""believes that we should have a national registration so that the people of Montana should have to ask permission before they purchase a gun, ask permission from the federal government.""",incredible
Bloggers,"""White supremacist who killed protester is a Democrat and visited (President Barack) Obama in Oval Office.""",incredible
Alex Castellanos,"""(For) white working-class America, death rates among white men are up 20 percent.""",incredible
Bloggers,Says there is proof Democrats hired actors to plan violence in Charlottesville.,incredible
Rick Baker,"Says he ""made St. Petersburg the state's best maintained large sewer system in 2007.""",credible
James Peterson,"""Ted Kaczynski has less restrictive confinement than the youth at Lincoln Hills.""",credible
Andrew Cuomo,"""70 million Americans have a criminal record — that’s one in three adults.""",credible
Donald Trump,"White nationalist protesters in Charlottesville ""had a permit. The other group didn’t have a permit.""",incredible
Tucker Carlson,"""The United States ended slavery around the world, and maybe we should get some credit for that, too.""",incredible
Donald Trump,"""Study what General Pershing of the United States did to terrorists when caught. There was no more Radical Islamic Terror for 35 years!""",incredible
National Republican Senatorial Committee,"Says Sen. Bill Nelson ""has aligned himself with communists and dictators,"" ""went to Venezuela to admire Chávez’s revolution"" and ""supports murderers.""",incredible
Donald Trump,"Wages ""haven’t gone up for a long time.""",incredible
Roy Moore,"""There are communities under Sharia law right now in our country. Up in Illinois. ... There’s Sharia law, as I understand it, in Illinois, Indiana -- up there. I don't know.""",incredible
Roy Cooper,"House Bill 330 ""grants immunity from liability to motorists who strike protesters.""",incredible
Bloggers,"""Whoopi Goldberg humiliated, handcuffed and dragged out of the TV studio.""",incredible
Jennifer Shilling,"""Foxconn tax break could exceed $1 million per job.""",credible
Jeff Sessions,"Chicago city officials ""have adopted an official policy of protecting criminal aliens who prey on their own residents.""",incredible
Joy Reid,"""The idea of putting up (Confederate) monuments actually didn’t happen right after the Civil War. It happened during the 1960s.""",incredible
One Wisconsin Now,"Wisconsin's $3 billion incentive offer to Foxconn is ""the largest gift ever by a state to a foreign company.""",credible
Seamless Florida,"""When Rick Baker heard (racist remarks from another mayoral candidate), he went after Congemi. Rick Kriseman he just looked away. Tolerating bigotry in silence is no virtue; taking it on is.""",credible
PuppetStringNews.com,"""Charlottesville car attacker is anti-Trump Antifa supporter.""",incredible
PuppetStringNews.com,"""Virginia police arrest wrong person to cover for Antifa member who ran over protesters.""",incredible
Florida Democratic Legislative Campaign Committee,"Says Jose Felix Diaz supports President Donald Trump's ""plan to slash Medicare, charge older Americans an age tax and cut coverage for pre-existing conditions.""",incredible
David Perdue,"""Half of all immigrant households receive benefits from our social welfare system.""",credible
Alex Jones,"Emails show Democrats, Hillary Clinton and George Soros instigated and orchestrated racial protests in Charlottesville by trying to ""control"" and keep people ""desperate.""",incredible
Rearfront.com,"""Dwayne 'The Rock' (Johnson) Has Officially Filed For The 2020 Presidential Campaign""",incredible
Rahm Emanuel,"""Every one of the financial bad management practices that I inherited, every one of them, have either been eliminated or cut significantly.""",credible
Chris Collins,"""Violent crimes where a firearm is used have remained static since 2013 in both New York State and Erie County""",incredible
Melissa Sargent,"On Foxconn deal, ""3,000 jobs cost #WI taxpayers more than $3 billion in tax giveaways. Break it down: more than $1 million in taxpayer dollars per job.""",incredible
Sebastian Gorka,"""There's no such thing as a lone wolf. ... That was a phrase invented by the last administration to make Americans stupid.""",incredible
Stacey Evans,"There are""thousands of Georgia workers that are misclassified as independent contractors,"" who lose benefits, including health care.",credible
Bloggers,"""Barron Trump Rushed To The Hospital, Hospital Releases Statement On His Condition""",incredible
Rick Kriseman,"Says that compared to Rick Baker's time as mayor, Kriseman ""had wet weather events that he did not experience"" that caused sewage spills. Baker ""went through significant periods of drought during his time as mayor.""",incredible
Bloggers,"Tornado carries mobile home 130 miles, family inside unharmed.",incredible
Andy Gronik,"Says Scott Walker ""has taken money away from internet expansion in our state.""",incredible
Kamala Harris,"""It costs us about $33,000 a year (on average nationally) to lock somebody up. In California it costs about $75,000 a year.""",credible
Donald Trump,"""At the end of 2016, there were 23 percent fewer federal prosecutions than in 2011, so (prosecutors) looked at this scourge (opioid deaths) and they let it go by.""",credible
Roy Cooper,"Last year, Democrats won nearly 50% of the vote, yet they hold only 38% of the seats in the state House and 30% of the seats in the state Senate.",credible
Viral image,"""Bill Clinton gave North Korea $5 billion and two nuclear reactors in 1994, essentially giving them nukes.""",incredible
Donald Trump,"""My first order as president was to renovate and modernize our nuclear arsenal. It is now far stronger and more powerful than ever before.""",incredible
Bloggers,"Says President Donald ""Trump orders 13 Obama deep state operatives arrested for treason.""",incredible
Scott Wagner,Eighty percent of the school tax bills in the state of Pennsylvania went up over last year.,credible
Mike Gallagher,"""We’re spending 18 percent of our GDP on healthcare while the average among industrialized countries is closer to 8 percent.""",credible
Donald Trump,"Says his time away from Washington coincides with a ""long planned renovation"" for the White House.",credible
Bloggers,"Says Russian President Vladimir Putin said Pope Francis ""is not a man of God.""",incredible
Bloggers,"U.S. Sen. John McCain ""was singlehandedly responsible for starting a fire on (the) USS Forrestal aircraft carrier.""",incredible
Illinois Policy Institute,The new tax will make soda sold in Chicago among the most expensive in the country.,credible
Donald Trump,"""United Nations Resolution is the single largest economic sanctions package ever on North Korea. Over one billion dollars in cost to N.K.""",credible
Bloggers,"""Kim Jong Un killed in (President Donald) Trump’s overnight black op attack on North Korea.""",incredible
Sean Duffy,"""You have almost half the counties in America that have one provider or no provider for insurance"" on the Obamacare exchanges.",incredible
Donald Trump,"Untaxed corporate earnings used to be ""$2.5 trillion … I guess it’s $5 trillion now. Whatever it is, it’s a lot more. So we have anywhere from 4 (trillion) to 5 or even more trillions of dollars sitting offshore.""",incredible
Antonio Villaraigosa,"""Undocumented immigrants commit less crimes than the native born.""",credible
Greg Abbott,"""More Texans have jobs today than ever before in the history of our state.""",credible
Bloggers,"""Hillary Clinton has third heart attack — docs says she ‘won’t survive’.""",incredible
Bloggers,"Says a New York physician and his wife jumped to their deaths because they ""can’t afford"" Obamacare.",incredible
David Perdue,"Because of the failure to pass a repeal bill, ""Obamacare remains the law of the land ... This means more than 300,000 Georgians below the poverty line will still not have access to the insurance Obamacare promised.""",credible
Ashley Smith,"Says transgender residents make up ""about 1-in-300 people, we're all over the place, we're your friends and your neighbors.""",credible
Bloggers,"""A witness will testify against Hillary Clinton.""",incredible
Donald Trump,"""The border is down 78 percent. Under past administrations, the border didn’t go down -- it went up.""",incredible
Greg Abbott,"Says Dallas Cowboys owner Jerry Jones told players: ""Stand for the Anthem or you’re off team.""",incredible
Rick Kriseman,"""The number of complaints against police officers has decreased from an average when Mr. (Rick) Baker was mayor from 78 to 14.""",credible
Paul Mango,"""As Governor, Wolf has already proposed more than $8B in tax increases.""",credible
US Daily News 24,"Says Debbie Wasserman Schultz ""going to mental hospital after what she did overnight desperate to escape arrest.""",incredible
One Wisconsin Now,"Says Scott Walker ""wants state taxpayers to dole out up to $250 million annually in incentives"" to Foxconn ""to lure a manufacturing plant to Wisconsin that he claims will generate $181 million in tax revenue.""",credible
Donald Trump,"""Corporations have NEVER made as much money as they are making now.""",credible
Bruce Rauner,"As written, the (Illinois school funding) bill includes a bailout of Chicago’s broken teacher pension system.",incredible
Gwen Moore,"Says Dontre Hamilton ""was shot 14 times by police for resting on a park bench in Milwaukee.""",credible
Donald Trump,"""Business spirit is the highest it's ever been, according to polls.""",incredible
J.K. Rowling,"Says Donald Trump was seen ""looking deliberately over a disabled child's head, ignoring his outstretched hand.""",incredible
Chris Sununu,"California and New York are ""the two biggest polluting states in the country.""",incredible
Bloggers,"""Barack Obama tweets sick attack on John McCain, says he should have died.""",incredible
Gavin Newsom,"The Inland Empire is ""the second fastest growing region"" for jobs in California.",credible
Scott Walker,"""Foxconn is bringing 13,000 high-tech jobs to Wisconsin.""",credible
Anthony Scaramucci,"""In light of the leak of my financial disclosure info which is a felony I will be contacting @FBI and the @TheJusticeDept""",incredible
Newt Gingrich,"In economic growth, ""Obama's best year was slower than Bill Clinton's worst year.""",credible
Beto O'Rourke,"""I’m one of two members of Congress out of 535 that takes no corporate cash, no political action committee money.""",credible
Dan Patrick,"""Of all the money we spend on education, less than 32 percent goes to teachers.""",credible
Marco Rubio,"""In order to sell insurance in Florida there are over 40 separate individual conditions that must be covered. ... far beyond the essential health benefits included in Obamacare.""",incredible
Rick Kriseman,"There were 2,761 auto thefts in 2006 under Rick Baker and 1,095 auto thefts in 2016.",credible
Donald Trump,"""We've achieved a historic increase in defense spending to get our troops the support they so richly deserve.""",incredible
Sean Duffy,"Republicans have "" won a thousand seats since Obamacare.""",credible
Mark Cuban,"""Twitter reaches only 15 percent of the population.""",credible
Ted Lieu,"""You've got thousands of people serving in the military who are transgender.""",credible
Mark Pocan,"""More than 15,000 transgender Americans"" are ""serving in the military today.""",credible
Bloggers,"Cher ""is moving to Canada because of President Trump.""",incredible
Donald Trump,"Amazon has a ""no-tax monopoly.""",incredible
Bloggers,"""Russian mansions Obama seized were meant to be illegal gifts to Sasha and Malia""",incredible
Andy Gronik,"Wisconsin is ""dead-last in creating new businesses"" for ""three years in a row.""",credible
Charles Schumer,"""When the price for oil goes up on the markets, it goes right up, but it never goes down.""",incredible
Donald Trump,"""We had the best jobs report in 16 years.""",credible
Donald Trump,"""The person in charge of the Hillary investigation, Andrew McCabe, got $700,000 from (Hillary Clinton) for wife!""",incredible
Bloggers,"Say Gretchen Carlson said, ""The 2nd Amendment Was Written Before Guns Were Invented.""",incredible
Bloggers,"Say Oscar Pistorius ""commits suicide in prison.""",incredible
Bloggers,"""Over $13 million worth of crops have ROTTED in California, all because no one is willing to work jobs vacated by migrants.""",credible
Jeff Sessions,"Preliminary murder rates in Philadelphia ""will put the murder rate at the highest of this decade in the city.""",incredible
Jeff Sessions,"""According to a recent study from the University of California Riverside, (sanctuary) cities with these policies have more violent crime on average than those that don’t.""",incredible
Tony Fabrizio,"Says Adam Putnam ""was for amnesty.""",credible
Eric Schneiderman,"""We have been able to cut New York’s uninsured rate in half since 2013 from 10 percent to 5 percent of our population.""",credible
Kellyanne Conway,"Just 6 percent of Americans say Russia is the country’s most important issue, yet the story receives ""75 percent of the coverage"" in the media.",incredible
Kevin McCarthy,"""More people, almost twice as many, pay the penalty or take the waiver than signed up for (Obamacare).""",incredible
John Faso,"""We now have about one-third of New York’s population on Medicaid.""",credible
Donald Trump,"During the Nixon Watergate investigation, ""out of courtesy, the FBI started reporting to the Department of Justice. But there was nothing official.""",incredible
Mike Pence,"Says President Donald Trump ""has signed more laws cutting through federal red tape than any president in American history and has already saved businesses and families up to $18 billion in red tape costs every year.""",credible
Ian Bremmer,Says President Richard Nixon held meetings with heads of state without an American interpreter.,credible
Rick Baker,"""We went from zero A elementary schools when I took office to 16 when I left, and our total A and B schools went up by 260 percent.""",credible
Randy Bryce,"Says Paul Ryan ""has not had a public town hall within the district for over 600 days.""",credible
Bloggers,"""Kim Jong Un dead: North Koreans calling Trump an assassin""",incredible
Donald Trump,"""We’ve signed more bills -- and I’m talking about through the legislature -- than any president ever.""",incredible
National Republican Senatorial Committee,"""Elizabeth Warren doesn't think Obamacare goes far enough: ‘The next step is single payer.' Does Sen. Nelson agree? He has in the past ... Sen. Nelson votes with Warren 90 percent of the time.""",incredible
Joe Straus,"""One"" Texas school ""district alone -- Austin ISD -- is expected to lose more than $530 million in local property taxes to Robin Hood this year.""",credible
Evan Smith,"""The last majority-Anglo high school class in Texas graduated in 2014.""",incredible
Casey Cagle,"Says of Georgia, ""for four years in a row, we are the No. 1 state to do business in.""",credible
Ron Johnson,"""In the ‘40s, 68 cents of every health care dollar was actually paid for by the patient, today it’s only 11 cents.""",credible
Kevin McCarthy,"""While California’s population has doubled since the 1970s, we haven’t completed a single major (water) storage project in that time.""",credible
George Will,"""America has more people employed as tax preparers (1.2 million) than as police and firefighters.""",incredible
Bloggers,Shepard Smith was fired from Fox News.,incredible
Greg Gutfeld,"Says Ted Kennedy met ""with the KGB in order to beat Ronald Reagan in 1984.""",incredible
Donald Trump,"""I've gotten rid of the Johnson Amendment … I signed an executive order so that now ... ministers and and preachers and rabbis and whoever it may be, they can speak. You know, you couldn’t speak politically before, now you can.""",incredible
Bloggers,"""There was someone else on that plane for the secret Bill Clinton/Loretta Lynch meeting.""",incredible
FreedomCrossroads.us,"""Malia Obama Fired From Cushy Internship At Spanish Embassy""",incredible
Elizabeth Warren,"""One in three people who’s receiving treatment for (opioid) drug problems gets some help from Medicaid to pay for that.""",credible
HalfwayPost.com,"""White House chef quits because Trump has only eaten fast food for 6 months.""",incredible
Donald Trump,"Says his job approval poll numbers are ""not bad"" relative to other presidents at this point in his presidency.",incredible
Pat Robertson,"Russian natural gas company ""Gazprom held Europe by the throat -- they were a monopoly, and now the U.S. is breaking into that monopoly with our exports of (liquefied natural gas).""",credible
Mike Pence,"In Ohio, due to Medicaid expansion, ""nearly 60,000 disabled citizens are stuck on waiting lists ... leaving them without the care they need for months or even years.""",incredible
Kid Rock,"""I’ve got 15 days from my announcement to file paperwork with the FEC!""",credible
Stacey Evans,"""I helped win one of the biggest private lawsuits against Medicare fraud in history. The government declined to pursue the case, so my firm did, and we recovered $324 million for taxpayers.""",credible
Corey Lewandowski,"Says ""Donald Trump was doing a rally in the state of Florida"" the day Trump's son and others met with a Russian lawyer in New York.",incredible
Uspoln Website,"Says former Rep. Michele Bachmann said that ""White People Have Suffered More In The Last 8 Years Than Blacks Did During Couple Years Of Slavery.""",incredible
"Save Our City, Milwaukeeans Can't Wait","Says Tom Barrett ""has directed that tens of millions of City of Milwaukee tax dollars be used for the construction of a downtown trolley at the expense of: health and public safety; repair and replacement of public infrastructure; public education; and, job creation and economic development.""",incredible
John Morgan,"""Despite decades of marijuana being used for smoking in the United States, there have been no reported medical cases of lung cancer"" attributed to marijuana.",credible
Paul Workman,Says it’s documented that City of Austin fees for building an apartment complex are nearly 10 times what Dallas levies.,credible
Reince Priebus,"""It's an absolute fact"" that China and North Korea ""have consistently over many, many years"" meddled in U.S. elections.",incredible
Bloggers,Says two of U.S. Rep. Nancy Pelosi’s daughters were arrested for smuggling drugs.,incredible
Eric Bolling,"""Collusion is not illegal.""",incredible
Pat Toomey,"Medicaid ""is contributing to 70 percent of our budget deficit right now. It’s the one that is in our lap because of Obamacare.""",incredible
Bloggers,"Says ""CNN host Fareed Zakaria calls for jihad rape of white women.""",incredible
Bloggers,"""3,000-Pound Great White Shark Captured in Great Lakes.""",incredible
Scott Walker,"Tax cuts approved and those proposed in his state budget ""will exceed $8 billion by the time the budget is done.""",credible
Travis Allen,"California taxes are ""among the highest in the nation.""",credible
Rick Baker,"""Midtown crime is up by 30 percent the last quarter.""",incredible
Bloggers,"""Obama goes to G20 summit ...  Everywhere President Donald Trump goes, Obama shows up, too.""",incredible
Newslo.com,"Says Paul Ryan said that 22 million Americans ""choose to be poor, so it’s their own problem if they can’t afford to be healthy.""",incredible
Donald Trump,"Says John Podesta ""refused to give the DNC server to the FBI and the CIA. Disgraceful!""",incredible
Richard Corcoran,"Says Miami-Dade Circuit Court Judge Milton Hirsch ""is constantly overturned.""",incredible
Bob Casey,The GOP health care proposal would slash more than $135 million in federal funding available to PA schools.,incredible
Chris Murphy,"Says because of Donald Trump, ""the IRS decided to stop enforcing the individual mandate that was the underpinning of the ACA. That has resulted in insurance companies all across the country jacking their rates up, explicitly because they don't believe that healthy people will buy insurance.""",incredible
FreedomCrossroads.us,"Says ""James Comey Has Been Having An Affair With"" Debbie Wasserman Schultz.",incredible
Donald Trump,"Says Barack Obama found out about Russia ""in August. Now, the election was in November. That's a lot of time. He did nothing about it.""",incredible
Diane Savino,"Giving a committee chair’s stipend in the New York State Senate to another member of that committee ""has been, in fact, a legislative practice for decades.""",incredible
Pat Toomey,"""Sanctuary cities are extremely dangerous.""",incredible
Raymond Walter,"""Western New Yorkers pay some of the highest property taxes in the state.""",credible
Hagar Chemali,"""Cuba is far more sanctioned than North Korea.""",credible
Gwen Moore,"""There are so many data that demonstrate that poor people, surprisingly, are less likely to use drugs than people with means.""",incredible
Bloggers,"Spicer: ""Trump has the legal right to cancel SCOTUS because they serve at his pleasure""",incredible
Channel24News.com,"Says the manager of a Checkers in Miami Gardens, Fla., killed 10 employees.",incredible
Donald Trump,"""Gas prices are the lowest in the U.S. in over ten years!""",incredible
Bloggers,Australia is microchipping its public.,incredible
Pete Olson,"Says that Bill Clinton ""basically"" told then-Attorney General Loretta Lynch in 2016 that ""we killed Vince Foster.""",incredible
StGeorgeGazette.com,"""Donald Trump plans to step down as President of the United States and resign from office within the next 30 days.""",incredible
Sarah Huckabee Sanders,"""The president in no way, form or fashion has ever promoted or encouraged violence.""",incredible
Marc Short,"7 million people the Congressional Budget Office says won't have health insurance coverage under the Senate health care bill ""don't exist.""",credible
Paul Soglin,"Since he and Scott Walker took office in 2011, ""60,000 new jobs have been created in this state -- 40,000 of them were created in Madison and the Madison area.""",incredible
Donald Trump,"CNN’s ratings are ""way down.""",incredible
Bloggers,Minnesota imposed an Islamic anti-blasphemy law.,incredible
Travis Allen,"""I have seen crime increase in every major metropolitan area (in California) … Crime is on the rise in every major market.""",incredible
Mark Pocan,"Says Scott Walker recently said ""he got his bald spot from hitting his head on a cabinet, and it's not a joke, he actually said that his bald spot came because he hit his head on a cabinet.""",credible
Marco Rubio,"""There is no reason for anybody to be losing any of their current benefits under Medicaid.""",incredible
Donald Trump,"""We're pretty much at the 50 percent mark"" on deportations of MS-13 gang members.",incredible
Samantha Bee,"The New York State Senate ""passed legislation allowing minors to race snowmobiles, get their own hunting licenses, and not be employed gathering or picking rags, cigar stumps, or collecting bones.""",credible
Rick Perry,"France ""wouldn’t buy Texas beef for some reason, yet 76 percent of their energy comes from nuclear power.""",credible
Bloggers,"""U.N. official John Ashe set to testify against the Clintons may not have died by accident.""",incredible
Ron Johnson,"""We are $20 trillion in debt. The Congressional Budget Office projects an additional $129 trillion of accumulated deficits over the next 30 years.""",credible
Bloggers,"""Leonardo DiCaprio explains why he’s moving to Casselberry, Florida.""",incredible
Scott Walker,"When he was Milwaukee County executive, ""eight years in a row we pushed through budgets that did not increase the tax levy from the previous year.""",incredible
Shawn Thierry,"""Texas mothers are dying during childbirth at the highest rates in the nation.""",credible
Sean Spicer,"""28.2 million Americans are still waiting under Obamacare and remain uninsured!""",credible
Michael Needham,"""Actually, on some procedures, you're more likely to die if you're on Medicaid than if you're uninsured.""",incredible
Newt Gingrich,"Under the House health care bill, Medicaid spending ""actually goes up 20 percent over the next 10 years.""",credible
Snoopack.com,"""Trey Gowdy is the new director of the FBI!""",incredible
Paul Ryan,"Says the CBO said ""it's not that people are getting pushed off a plan; it's that people will choose not to buy something they don't like or want.""",incredible
Tammy Baldwin,"Says Donald Trump ""wants to kick thousands of kids off of BadgerCare.""",credible
Donald Trump,"""When Obamacare was signed into law, CBO estimated that 23 million people would be covered in Obamacare’s exchanges in 2017. They were off by more than 100 percent. Only 10.3 million people are covered by Obamacare.""",credible
Devin Nunes,"President Trump has signed more bills into law ""than any president previously before at this stage in the game.""",incredible
Rick Kriseman,"""We are seeing poverty being reduced in south St. Pete at a number larger than the national average, the state average, county or Tampa and Jacksonville.""",incredible
Bernie Sanders,"""When you throw 23 million people off of health insurance -- people with cancer, people with heart disease, people with diabetes -- thousands of people will die. … This is study after study making this point.""",credible
Bloggers,Says Johnny Depp died after being apprehended for threatening President Donald Trump’s life.,incredible
Pat Toomey,"""Remember, Obamacare created a new category of eligibility. Working-age, able-bodied adults with no dependents for the first time became eligible for Medicaid if their income is below 138 percent of the poverty level. We’re going to continue that eligibility. No one loses coverage.""",credible
Kellyanne Conway,"There ""are not cuts to Medicaid"" in the GOP health care proposals.",incredible
Barack Obama,"The Senate bill ""hands enormous tax cuts to the rich and to the drug and insurance industries, paid for by cutting health care for everybody else.""",credible
Donald Trump,"""I can say that the people that have been hired (for the independent Russia investigation) are all Hillary Clinton supporters, some of them worked for Hillary Clinton.""",incredible
FreedomCrossroads.us,Says investigators have found remains of missing women in steel barrels buried on Bill and Hillary Clinton’s property.,incredible
Bloggers,"""Massive Bumble Bee recall after 2 employees admit cooking a man and mixing him with a batch of tuna.""",incredible
Kellyanne Conway,"""If you became a Medicaid recipient through the Obamacare expansion, you are grandfathered in.""",incredible
Dan Patrick,"""When colleges and universities are added, education spending is the biggest item in the state budget — about 52 percent of all state dollars.""",credible
Mark Pocan,"""Seven years later, (Scott Walker) has not hit his first campaign promise of creating 250,000 jobs.""",credible
John Faso,"A waiver in the American Health Care Act ""doesn’t apply to things like maternity coverage.""",incredible
Antonio Villaraigosa,"Although California has ""the sixth largest economy in the world, we also have one of the highest poverty rates"" in the nation.",credible
Rick Perry,"""Most likely the primary control knob (for the earth’s temperature) is the ocean waters and this environment that we live in.""",incredible
Ainsley Earhardt,"""5.7 million -- that’s how many illegal immigrants might have voted"" in 2008.",incredible
AntiNews.in,"""Chinese lunar rover finds no evidence of American moon landings.""",incredible
Donald Trump,Obamacare has led to fewer health insurance options for millions of Americans.,incredible
Ken Paxton,"Says Barack Obama ""acknowledged over 20 times"" that his administration’s Deferred Action for Parents of Americans ""immigration edict was a violation of law and the separation of powers.""",incredible
Ann Coulter,"The Trump administration has granted amnesty to ""nearly 100,000 'Dreamers' """,credible
Gus Bilirakis,"""A study by the National Economics Research Association showed that the (Paris climate) deal could cost 2.7 million lost jobs in the U.S. by 2025 should our country adhere to the commitments made by the Obama Administration.""",incredible
Bloggers,"""Libtard hero Al Franken forced to resign in disgrace.""",incredible
Joy Reid,"In the Georgia House district that hosted a special election on June 20, ""Trump won by 20+ points.""",incredible
Tweets,"""Docs: Wisconsin Governor Scott Walker took $1 million from a pro-Putin Ukrainian businessman—last election cycle.""",incredible
Richard Burr,"""This is not the first time (the Russians) have been involved in our elections.""",credible
TheMiamiGazette.com,"""Cannibals arrested in Florida claim eating human flesh cures diabetes and depression""",incredible
Donald Trump,"Says Jon Ossoff ""doesn't even live in (his) district.""",credible
LondonWebNews.com,"Says Kellyanne Conway said liberal women hate her because of her ""striking beauty and intellect.""",incredible
FreedomCrossroads.us,"""Nancy Pelosi suffers breakdown, taken from Capitol Hill on a stretcher.""",incredible
Principled PAC,"""The same unhinged leftists cheering last week's shooting are all backing Jon Ossoff.""",incredible
Bloggers,"""Trump welcomes Jamaica as a U.S. territory""",incredible
Great America Alliance,Says Barack Obama complained that Democrats continue to ignore blacks except at election time.,incredible
Donald Trump,"""The new Rasmussen Poll, one of the most accurate in the 2016 Election, just out with a Trump 50% Approval Rating. That's higher than O's #'s!""",incredible
Karl Racine,"""The Kingdom of Saudi Arabia, whose government has important business and policy before the president of the United States, has already spent hundreds of thousands of dollars at the Trump International Hotel.""",credible
Ivanka Trump,"""There are currently 6 million jobs available in this country that are due in part to the skills gap.""",credible
Infowars,"Says Loretta Lynch was part of ""a stunning collection of calls to violence and murder from the intolerant, unhinged leftists in the Democrat party.""",incredible
New York Times Editorial Board,A political map circulated by Sarah Palin’s PAC incited Rep. Gabby Giffords’ shooting,incredible
TeddyStick.com,"""Democrat Maxine Waters has shown up to only 10 percent of congressional meetings for 35 years.""",incredible
Donald Trump,"""Obamacare premiums have doubled"" in Wisconsin.",credible
Kirsten Gillibrand,"A national paid leave program ""would potentially put into the economy $21 billion dollars annually.""",incredible
Derrick Crowe,"Says each of the past three years ""has been the hottest on record.""",credible
Bernie Sanders,"Says Senate deliberations on the Affordable Care Act in 2009 and 2010 included hundreds of hours of debate and more than 100 Republican amendments, compared with zero for the American Health Care Act this year.",credible
Gavin Newsom,"""Americans are 25x more likely to be shot & killed than others in developed countries.""",credible
Donald Trump,"""Two million more people just dropped out of Obamacare. It is in a death spiral.""",incredible
Richard Burr,"Says the Senate Intelligence Committee has held 10 public hearings this year, ""more than double that held by the committee in any recent year.""",credible
Karen Handel,"Says Iran has ""violated the terms of the (nuclear) deal.""",incredible
Jeff Sessions,"""It's a longstanding policy of the Department of Justice not to comment on conversations that the attorney general has had with the president of the United States.""",credible
Rafael Anchia,"""How many federal rulings have NOW found intentional discrimination by #Txlege since 2011? 6.""",credible
Andrew Gillum,"Says his campaign has received donations from ""more than 7,000 contributors.""",incredible
Bloggers,"""NASA confirms Earth will experience 15 days of darkness In November 2017.""",incredible
Bloggers,"""The DEA just raided a United States senator — Dems in a panic.""",incredible
Donald Trump,"Rare is the president ""who's passed more legislation, who's done more things than what we've done, between the executive orders and the job-killing regulations that have been terminated.""",incredible
Bloggers,"Says Keanu Reeves gave a speech that began, ""I cannot be part of a world where men dress their wives as prostitutes by showing everything that should be cherished ...""",incredible
Jon Ossoff,"The House Republican health care bill ""guts protections against massive price hikes for Georgians with pre-existing conditions.""",credible
AntiNews.in,"""Edward Snowden: Osama bin Laden is still alive living in the Bahamas.""",incredible
Ivanka Trump,"""While (women) represent 47 percent of the overall work force, we only make up 23 percent of STEM-related occupations.""",credible
Ann McLane Kuster,"For 22 percent of N.H. Meals on Wheels recipients, the delivery driver is ""the only human contact in their life from week to week.""",credible
North Carolina Republican Party,Says former FBI Director James Comey admitted to leaking classified information.,incredible
Kathy Hochul,"""We have pay equity. When you think about that wage gap, we all know it's 78 cents to the dollar. Well, in New York state it's 90 cents to the dollar.""",credible
Antonio Villaraigosa,"""Seventy-seven of the top 300 cities with the highest poverty rate"" nationwide are in California.",incredible
Greg Gutfeld,"""Every single year that there's an increase (in temperature) it's within the margin of error -- meaning it isn't increasing.""",incredible
Hillary Clinton,"""The best estimate is that 200,000 people in Wisconsin were either denied or chilled in their efforts to vote"" in the 2016 presidential election.",incredible
Jesse Kremer,"""The Earth is 6,000 years old, that’s a fact.""",incredible
Sarah Palin,Says an Internet meme shows people rejoicing over the Paris agreement.,incredible
Vet TV,"""Trump Removing Marines From the Navy.""",incredible
Daily USA Update,"Says ""Scott Baio .. dies in small plane crash.""",incredible
Scott Walker,"""Property taxes are lower right now than they were"" in December 2010 on a median-valued home in Wisconsin.",credible
Jon Ossoff,"""In 2012, you were discussing how you led the effort to defund breast cancer screenings at Planned Parenthood.""",credible
Karen Handel,"""Nearly $2 billion in cash was flown over to Iran, money that the Obama administration has admitted is being used for terrorists and to support further activities there.""",credible
David Lewis,"""The waiting list for Pre-K is over in the House budget.""",credible
